Time,EMAI
2018/12/4,100
2019/1/4,106.8
2019/2/4,85.3
2019/3/4,108.2
2019/4/4,107.5
2019/5/4,100.5
2019/6/4,93.7
2019/7/4,95.2
2019/8/4,93.7
2019/9/4,99.1
2019/10/4,96.5
2019/11/4,108.2
2019/12/4,111.2
2020/1/4,86.6
2020/2/4,67
2020/3/4,118.4
2020/4/4,123.6
2020/5/4,120.3
2020/6/4,113
2020/7/4,107.9
2020/8/4,102.1
2020/9/4,122.8
